Day,Weekday,Hour,E_LastHour,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12
05/16/22,0,0,0.0,0.15809634,0.2539667,0.1961512,0.13259056,0.10567701,0.13308798,0.22113642,0.8112647,5.4425225,11.378323,7.4864993,3.9924793
05/16/22,0,1,0.0,0.22337414,0.28538778,0.23457162,0.2979615,0.29744706,0.3076094,1.0337675,6.2831783,12.502243,7.512819,3.8156378,2.856824
05/16/22,0,2,0.0,0.34437153,0.3051936,0.23076749,0.22426082,0.28601798,0.9829277,5.9722366,13.348965,8.194586,3.753443,2.385956,2.2615695
05/16/22,0,3,0.0,0.30102444,0.2267373,0.15040323,0.22717144,0.98316604,5.8164253,11.845254,7.961968,3.7403483,2.8059883,2.1707258,2.0661538
05/16/22,0,4,0.0,0.18802805,0.16916701,0.20440365,1.0256009,6.710555,12.438555,7.9244537,4.0358734,2.6324399,2.373637,2.083111,2.314301
05/16/22,0,5,0.0,0.15277153,0.22510254,0.8058075,6.7435956,13.725325,8.444057,3.9592235,3.1762722,2.5671084,2.1243474,1.9524002,2.1116164
05/16/22,0,6,0.0009166666666666668,0.31580555,0.918414,5.4015985,13.027206,8.939897,4.222877,2.755861,2.585765,2.2671044,2.2992246,2.1016357,1.4901792
05/16/22,0,7,0.0,1.2615347,6.142019,12.943609,8.707004,4.463012,3.0920503,2.7975373,2.783409,2.8973036,2.7509236,1.6016535,0.6838394
05/16/22,0,8,0.017675000000000107,4.6527953,12.8416815,7.9118147,3.6227365,2.5759645,2.1218464,2.0853775,2.5758927,2.321775,1.5919666,0.85545343,0.90430033
05/16/22,0,9,11.005616666666667,18.296764,11.496477,6.957053,4.0933757,3.8369446,2.7059813,2.701001,0.16125993,0.33910945,0.05299925,0.01092285,0.0030512824
05/16/22,0,10,21.78875,10.489636,4.455352,3.285228,2.3395166,1.4573768,1.6155678,1.4523028,2.9982324e-05,4.9213457e-05,2.4417016e-06,1.05098984e-07,1.1434272e-06
05/16/22,0,11,8.245525,1.710771,1.7722828,1.4990649,1.5195205,0.96737665,0.66714764,0.36640757,0.025707666,0.00011416062,0.0021281117,0.0038896175,0.0018196576
05/16/22,0,12,1.231158333333335,2.4600585,4.125972,2.5191305,3.8749363,3.5306635,1.5655848,1.1426438,0.029346589,9.1296766e-05,0.030144917,0.37067717,0.5065396
05/16/22,0,13,0.0,0.85975295,0.84483624,0.84480613,1.1391311,0.71165705,0.3220936,0.2653229,0.100095354,0.07259058,0.47135144,1.0562384,1.189646
05/16/22,0,14,5.276183333333333,8.406256,5.6380887,2.8556864,1.3610582,1.0520953,0.9491485,0.89615166,0.9120056,0.56099474,0.40390626,0.3735585,0.24293707
05/16/22,0,15,4.918683333333333,2.507911,1.9952004,1.2682738,1.0621419,0.88068235,1.22,0.6801432,0.47838593,0.2859149,0.28179055,0.24238221,0.21475415
05/16/22,0,16,0.0,0.70644814,0.7416468,0.68867165,1.2054299,1.0841365,0.6770582,0.3963033,0.17017913,0.19989832,0.663074,1.1735094,0.6192716
05/16/22,0,17,0.15088333333333326,0.3490117,0.20477818,0.1612225,0.22444558,0.17093065,0.10556432,0.09470603,0.052242782,0.08951188,0.17109963,0.330217,0.54320616
05/16/22,0,18,0.0,0.29087156,0.31493354,0.2648229,0.29076812,0.26608726,0.24633797,0.19249192,0.28054413,0.2012518,0.16981937,0.28162396,0.5098938
05/16/22,0,19,0.030675000000000452,0.6020806,0.6110941,0.27720666,0.30166423,0.37068102,0.28973255,0.24693692,0.48205096,0.39965135,0.20244683,0.23544255,0.75287426
05/16/22,0,20,0.0,0.24239218,0.19869903,0.1699512,0.23730901,0.32974774,0.39669743,0.3402018,0.34579718,0.1908083,0.18167998,0.4045119,1.2169329
